,alt,co,lat,lon,no2,pm2_5,volts
51,0.0,0.0,51.4528293,-2.5998948,0.04,36.0,3.0
52,0.0,0.0,51.4528563,-2.5999551,0.07,34.0,2.97
53,67.0,0.0,51.45251115,-2.5999373,0.06,27.5,3.055
54,67.0,0.0,51.45251115,-2.5999373,0.06,27.5,3.055
55,0.0,0.0,51.45290125,-2.59999025,0.075,58.5,3.075
56,0.0,0.0,51.4527719,-2.5997563,0.05,35.0,3.03
57,0.0,0.0,51.4527787,-2.5996121,0.07,31.0,2.99
58,0.0,0.0,51.4526817,-2.59952465,0.06,31.0,3.07
59,0.0,0.0,51.4526817,-2.59952465,0.06,31.0,3.07
60,0.0,0.0,51.4528011,-2.5992735,0.05,26.0,3.07
61,0.0,0.0,51.45268495,-2.59892975,0.045,29.0,3.08
62,0.0,0.0,51.4527342,-2.5988189,0.05,40.0,3.0
63,0.0,0.0,51.4526045,-2.5984916,0.05,40.0,2.99
64,0.0,0.0,51.45289855,-2.59808275,0.06,29.0,3.09
65,0.0,0.0,51.45292505,-2.5980813,0.06,29.0,3.09
66,0.0,0.0,51.4530274,-2.5980812,0.05,40.0,3.07
67,0.0,0.0,51.4532236,-2.5979109,0.05,48.0,3.03
68,0.0,0.0,51.4533809,-2.59778845,0.085,40.0,2.975
69,73.8888888889,0.0,51.4532716,-2.59805111111,0.0555555555556,37.6666666667,3.05111111111
70,73.625,0.0,51.4532731625,-2.5980525,0.05625,37.125,3.0575
71,73.8888888889,0.0,51.4532716,-2.59805111111,0.0555555555556,37.6666666667,3.05111111111
72,73.8888888889,0.0,51.4532716,-2.59805111111,0.0555555555556,37.6666666667,3.05111111111
73,74.25,0.0,51.4532677,-2.5980484,0.05375,38.0,3.04875
74,73.8888888889,0.0,51.4532716,-2.59805111111,0.0555555555556,37.6666666667,3.05111111111
75,73.8888888889,0.0,51.4532716,-2.59805111111,0.0555555555556,37.6666666667,3.05111111111
76,73.8888888889,0.0,51.4532716,-2.59805111111,0.0555555555556,37.6666666667,3.05111111111
77,73.8888888889,0.0,51.4532716,-2.59805111111,0.0555555555556,37.6666666667,3.05111111111
78,70.0,0.0,51.4534174,-2.5979985,0.05,49.0,3.02
79,0.0,0.0,51.4535643667,-2.59757406667,0.0733333333333,38.6666666667,3.05666666667
80,0.0,0.0,51.4535643667,-2.59757406667,0.0733333333333,38.6666666667,3.05666666667
81,0.0,0.0,51.45367025,-2.59753655,0.05,37.5,3.025
